Age,M,F
0-4,888567,839594
5-9,1071837,1012481
10-14,1225065,1153331
15-19,1316066,1243489
20-24,1276321,1201587
25-29,1258816,1210005
30-34,1369373,1339074
35-39,1484749,1477466
40-44,1760112,1733645
45-49,2037995,1979245
50-54,1950906,1916580
55-59,1834153,1865181
60-64,1619063,1714927
65-69,1330300,1462263
70-74,1065904,1228965
75-79,890657,1118390
80-84,594978,833259
85-89,347346,595230
90-94,163433,352306
95-99,33272,99138
100+,3003,12446
