Age,M,F
0-4,192202,181655
5-9,275381,259702
10-14,291937,275112
15-19,249900,236353
20-24,221544,209351
25-29,236548,222490
30-34,322819,310179
35-39,383986,371471
40-44,353726,356320
45-49,309471,330537
50-54,285039,326091
55-59,268447,326408
60-64,285907,374110
65-69,233497,353069
70-74,154588,281650
75-79,82964,179917
80-84,40451,120052
85-89,24733,92374
90-94,6193,25502
95-99,1043,3750
100+,45,173
