Age,M,F
0-4,293636,287559
5-9,310942,305133
10-14,292472,286835
15-19,267138,235636
20-24,557303,362224
25-29,982308,474030
30-34,1184887,489283
35-39,1033716,483640
40-44,730301,361208
45-49,531216,225740
50-54,370792,163920
55-59,245265,138447
60-64,137745,80900
65-69,53107,37557
70-74,29913,25010
75-79,15819,13405
80-84,6615,6207
85-89,2734,2950
90-94,507,794
95-99,68,143
100+,2,9
