Age,M,F
0-4,48528,46905
5-9,53315,51493
10-14,51430,49116
15-19,45369,42702
20-24,66406,40409
25-29,90924,54588
30-34,130116,64063
35-39,151852,60682
40-44,120051,52485
45-49,83183,42133
50-54,58667,30786
55-59,39366,25338
60-64,25201,20008
65-69,15836,13337
70-74,7779,6986
75-79,4278,4104
80-84,2764,2707
85-89,1301,1387
90-94,503,587
95-99,139,174
100+,16,24
