Age,M,F
0-4,217403,209474
5-9,244150,234810
10-14,203491,195994
15-19,151765,145325
20-24,271396,148023
25-29,384888,173754
30-34,453882,199870
35-39,463507,196475
40-44,341817,156162
45-49,216327,110902
50-54,137950,67553
55-59,82254,46838
60-64,49615,38259
65-69,26632,26524
70-74,18136,19011
75-79,11944,13013
80-84,6613,7854
85-89,2926,3919
90-94,926,1498
95-99,195,403
100+,8,43
