Age,M,F
0-4,1352223,1296119
5-9,1407013,1356648
10-14,1366125,1311317
15-19,1248376,1187369
20-24,1462189,1123957
25-29,2179035,1249681
30-34,2662193,1353225
35-39,2559737,1221628
40-44,2067027,965981
45-49,1448688,698374
50-54,1032337,509996
55-59,744730,392093
60-64,477337,287165
65-69,255237,183037
70-74,136116,112146
75-79,90842,77785
80-84,46557,45214
85-89,17915,21543
90-94,4937,7857
95-99,815,1890
100+,56,237
