Age,M,F
0-4,79229,76132
5-9,83911,79044
10-14,72030,69072
15-19,65269,55619
20-24,109410,49532
25-29,275517,75767
30-34,365878,114229
35-39,377396,113878
40-44,291041,86847
45-49,188477,58446
50-54,125411,36748
55-59,69919,24174
60-64,38566,15787
65-69,17899,9626
70-74,7125,5516
75-79,3501,2865
80-84,1467,1282
85-89,640,618
90-94,205,247
95-99,36,51
100+,1,4
