Age,M,F
0-4,781827,761765
5-9,725613,711515
10-14,842569,824782
15-19,763232,751321
20-24,612502,605856
25-29,392498,390810
30-34,301027,319227
35-39,257866,288617
40-44,298520,335884
45-49,273362,307985
50-54,216866,249934
55-59,152570,181498
60-64,107059,131390
65-69,71250,91591
70-74,41953,58269
75-79,22411,34683
80-84,9892,16957
85-89,2967,5807
90-94,351,1092
95-99,17,50
100+,8,7
