Age,M,F
0-4,2146719,2101699
5-9,1893092,1853208
10-14,1669731,1630532
15-19,1406815,1371454
20-24,1122777,1092908
25-29,874632,850079
30-34,723259,703815
35-39,623423,603544
40-44,529247,512702
45-49,416260,405662
50-54,304263,299429
55-59,216065,219683
60-64,157143,166874
65-69,115337,128880
70-74,79524,93816
75-79,45925,57580
80-84,20771,27633
85-89,5147,7223
90-94,628,1056
95-99,10,41
100+,0,0
