Age,M,F
0-4,1870359,1817975
5-9,1547536,1508383
10-14,1320615,1285846
15-19,1119032,1091728
20-24,929161,916809
25-29,778140,773897
30-34,630160,630471
35-39,489201,494303
40-44,390098,398489
45-49,327460,338000
50-54,260079,272894
55-59,190296,205767
60-64,135203,150823
65-69,89987,103691
70-74,56249,67459
75-79,28438,35186
80-84,13043,17183
85-89,4578,6552
90-94,1177,1749
95-99,440,466
100+,100,89
