Age,M,F
0-4,5574551,5445381
5-9,4927303,4828625
10-14,4224958,4162003
15-19,3751722,3720956
20-24,3191033,3184286
25-29,2697887,2693066
30-34,2208598,2231497
35-39,1820200,1894391
40-44,1485718,1592186
45-49,1217017,1302051
50-54,959372,990715
55-59,659946,714256
60-64,432698,562076
65-69,321964,481723
70-74,240959,351393
75-79,159785,225045
80-84,75907,116809
85-89,26381,54318
90-94,6248,20171
95-99,919,5104
100+,76,852
