Age,M,F
0-4,2907985,2876906
5-9,2557086,2535115
10-14,2269585,2257216
15-19,1881492,1885988
20-24,1595809,1624075
25-29,1331627,1384024
30-34,1075928,1149680
35-39,850292,951413
40-44,653892,774544
45-49,487540,612374
50-54,414754,482235
55-59,290508,350952
60-64,172078,304991
65-69,124332,280369
70-74,94518,200956
75-79,56690,103412
80-84,27668,40658
85-89,8506,11857
90-94,1587,2510
95-99,188,372
100+,11,32
