Age,M,F
0-4,412319,402122
5-9,371494,363058
10-14,333980,324936
15-19,280805,280335
20-24,225800,235436
25-29,186607,201324
30-34,155507,171814
35-39,129620,145728
40-44,105065,120822
45-49,85204,99693
50-54,71270,81932
55-59,57281,65217
60-64,44605,50524
65-69,32585,37224
70-74,21368,25077
75-79,12636,15574
80-84,6389,8246
85-89,2437,3368
90-94,619,1005
95-99,120,207
100+,10,21
