Age,M,F
0-4,9948880,9843681
5-9,8330966,8304930
10-14,6930564,6944088
15-19,5679749,5707427
20-24,4711437,4752313
25-29,3993339,4046249
30-34,3245412,3306763
35-39,2647177,2706138
40-44,2082958,2140619
45-49,1656335,1726743
50-54,1405675,1492825
55-59,1159440,1255215
60-64,900212,996246
65-69,653981,743336
70-74,433926,511590
75-79,264644,333305
80-84,123917,170198
85-89,40232,61644
90-94,7355,14229
95-99,618,1794
100+,10,94
