Age,M,F
0-4,1602976,1600636
5-9,1459857,1460881
10-14,1354487,1357776
15-19,1196212,1205367
20-24,995292,1011193
25-29,850213,865528
30-34,728714,738117
35-39,631982,633262
40-44,522482,520961
45-49,413072,419638
50-54,294685,313676
55-59,199393,226122
60-64,134095,163384
65-69,83825,112969
70-74,47128,71941
75-79,22648,37569
80-84,9482,17532
85-89,2979,6296
90-94,619,1577
95-99,88,260
100+,7,26
