Age,M,F
0-4,24829,23778
5-9,27417,25460
10-14,33538,30478
15-19,35253,32519
20-24,37795,35111
25-29,40672,33752
30-34,46186,36129
35-39,41310,33024
40-44,33663,27242
45-49,26755,21784
50-54,20460,16890
55-59,16942,14704
60-64,12741,11681
65-69,10162,9910
70-74,7055,6981
75-79,4371,4522
80-84,2472,2747
85-89,1056,1253
90-94,312,424
95-99,49,75
100+,4,8
