Age,M,F
0-4,2055581,1957753
5-9,2467140,2339476
10-14,2741601,2590970
15-19,2905586,2747227
20-24,3123806,2969008
25-29,3112116,2991052
30-34,3105947,2985897
35-39,3403799,3288952
40-44,3770818,3693873
45-49,4461369,4392177
50-54,4975377,4889269
55-59,4226205,4118071
60-64,3816980,3768372
65-69,3611321,3698376
70-74,3946723,4293059
75-79,3756507,4473210
80-84,2634814,3586305
85-89,1491180,2519061
90-94,613916,1479586
95-99,133604,495871
100+,17162,103910
