Age,M,F
0-4,23622185,21431743
5-9,39075711,34559683
10-14,48503553,41971000
15-19,46340094,39577852
20-24,42415497,36141865
25-29,43779311,37770563
30-34,49167853,43509173
35-39,63689179,58292076
40-44,54302383,51170708
45-49,47164339,45300863
50-54,55143348,54078416
55-59,59033504,59415074
60-64,50867520,52813111
65-69,31394265,34433815
70-74,30704345,36374753
75-79,18687831,23697183
80-84,9334662,13003786
85-89,4219703,7091868
90-94,1220953,2877048
95-99,138218,546329
100+,4341,48372
