Age,M,F
0-4,8001926,7536835
5-9,8315199,7823830
10-14,9253097,8701029
15-19,10687441,10043420
20-24,11828698,11083596
25-29,12361556,11562467
30-34,12345254,11540891
35-39,12293130,11484165
40-44,13377786,12504219
45-49,16393652,15357136
50-54,19953485,18743198
55-59,21358523,20122175
60-64,20788038,19647925
65-69,19839972,18825677
70-74,19537639,18568760
75-79,20694477,19843073
80-84,31364794,30558203
85-89,27999673,28637405
90-94,16482114,18891038
95-99,6001201,8764933
100+,1240236,3010237
