Age,M,F
0-4,12209958,12069680
5-9,11018096,10943761
10-14,9802285,9761573
15-19,8382047,8390195
20-24,6909468,6979231
25-29,5603550,5708848
30-34,4622353,4730061
35-39,3922090,4026071
40-44,3210355,3314592
45-49,2573806,2674205
50-54,1996553,2097455
55-59,1522219,1635320
60-64,1219444,1349504
65-69,936192,1071111
70-74,641413,762195
75-79,378978,473001
80-84,180092,240531
85-89,63769,95623
90-94,13552,25607
95-99,1365,3633
100+,64,244
