Age,M,F
0-4,11307960,11178339
5-9,9927683,9863635
10-14,8488453,8474755
15-19,7082708,7111088
20-24,5743958,5808865
25-29,4719364,4799446
30-34,4013053,4093282
35-39,3301606,3386053
40-44,2666805,2746432
45-49,2095181,2171770
50-54,1627384,1717053
55-59,1340550,1448788
60-64,1082505,1200135
65-69,802514,917018
70-74,539853,638715
75-79,314852,391058
80-84,153731,207702
85-89,53653,81458
90-94,10614,20266
95-99,1000,2693
100+,43,171
