Age,M,F
0-4,12965381,12820310
5-9,11916182,11838497
10-14,10888184,10840832
15-19,9686463,9671745
20-24,8188123,8244963
25-29,6751018,6868849
30-34,5495729,5633892
35-39,4523636,4658802
40-44,3818437,3946350
45-49,3102595,3231871
50-54,2456036,2586256
55-59,1870636,2000897
60-64,1387470,1526262
65-69,1056758,1207043
70-74,750241,892909
75-79,451891,566719
80-84,217768,292460
85-89,75392,111832
90-94,16152,30170
95-99,1766,4634
100+,89,335
