Age,M,F
0-4,14731278,14576031
5-9,13562770,13489945
10-14,12540910,12498053
15-19,11659047,11643857
20-24,10537486,10581118
25-29,9278751,9384770
30-34,7873141,8034584
35-39,6500082,6698363
40-44,5254065,5458750
45-49,4271589,4469261
50-54,3534682,3735429
55-59,2786225,2994726
60-64,2108142,2314682
65-69,1487861,1682467
70-74,971888,1148588
75-79,602482,756376
80-84,307726,416474
85-89,110629,166079
90-94,23800,44099
95-99,2592,6605
100+,142,519
