Age,M,F
0-4,15955765,15797484
5-9,15158321,15091935
10-14,14303369,14271595
15-19,13299899,13300994
20-24,12163286,12224638
25-29,11203902,11330678
30-34,10169834,10347639
35-39,8964342,9184771
40-44,7553706,7815000
45-49,6163147,6453741
50-54,4887221,5191918
55-59,3855887,4162921
60-64,3052425,3364251
65-69,2233554,2539595
70-74,1492360,1762802
75-79,862164,1073307
80-84,406650,547512
85-89,150750,227122
90-94,34702,64718
95-99,3991,10193
100+,225,808
