Age,M,F
0-4,15450539,15293672
5-9,14435619,14364401
10-14,13430699,13394113
15-19,12413111,12405045
20-24,11418522,11469226
25-29,10330949,10445695
30-34,9126501,9288830
35-39,7727134,7937724
40-44,6348617,6588406
45-49,5095453,5341616
50-54,4091880,4338736
55-59,3326043,3578938
60-64,2553406,2810719
65-69,1839746,2086112
70-74,1203638,1417236
75-79,692929,865396
80-84,351161,475146
85-89,131285,197757
90-94,28973,53939
95-99,3232,8249
100+,178,637
