Age,M,F
0-4,10206740,10095306
5-9,8604860,8572028
10-14,7178437,7188912
15-19,5896690,5926746
20-24,4845047,4890373
25-29,4103095,4159112
30-34,3382544,3447104
35-39,2746283,2809552
40-44,2173802,2233472
45-49,1710429,1780523
50-54,1435671,1523697
55-59,1192091,1290627
60-64,929953,1029748
65-69,677396,770762
70-74,450200,530189
75-79,270671,340178
80-84,129650,177551
85-89,42381,64895
90-94,7863,15141
95-99,683,1933
100+,17,107
