Age,M,F
0-4,13858212,13708652
5-9,12672239,12596338
10-14,11784830,11737297
15-19,10766393,10748467
20-24,9473348,9514560
25-29,8011448,8124797
30-34,6628553,6786355
35-39,5384467,5555577
40-44,4409514,4572504
45-49,3694688,3852690
50-54,2964847,3129897
55-59,2304585,2470914
60-64,1708390,1871197
65-69,1205424,1368774
70-74,849097,1009225
75-79,530421,666583
80-84,260892,352269
85-89,91730,136947
90-94,19366,35722
95-99,2121,5489
100+,117,434
