Age,M,F
0-4,16949701,16787679
5-9,16539922,16481147
10-14,16208287,16193857
15-19,15796979,15824815
20-24,15125059,15231691
25-29,14376568,14566859
30-34,13489879,13747420
35-39,12451032,12769862
40-44,11367166,11736179
45-49,10366573,10793615
50-54,9177765,9679993
55-59,7775989,8352488
60-64,6171181,6808525
65-69,4556371,5213959
70-74,3078189,3679717
75-79,1862489,2355505
80-84,955030,1301485
85-89,352339,534825
90-94,78903,146948
95-99,9188,23055
100+,530,1870
