Age,M,F
0-4,16959996,16768508
5-9,16873731,16777492
10-14,16762591,16723389
15-19,16491819,16511270
20-24,16019283,16128823
25-29,15565436,15768371
30-34,15112688,15402538
35-39,14526924,14904392
40-44,13769350,14226996
45-49,12761028,13296402
50-54,11528182,12165058
55-59,10181044,10933405
60-64,8825731,9710465
65-69,7184861,8183601
70-74,5313442,6332552
75-79,3360432,4272744
80-84,1714789,2380437
85-89,639170,1001491
90-94,150601,291977
95-99,19529,51248
100+,1264,4682
