Age,M,F
0-4,16785771,16628421
5-9,16325457,16266513
10-14,15929952,15913184
15-19,15408580,15433079
20-24,14613395,14712238
25-29,13664998,13840056
30-34,12639484,12876673
35-39,11591300,11881792
40-44,10639709,10980116
45-49,9528127,9919192
50-54,8207447,8659740
55-59,6675695,7189834
60-64,5159951,5710878
65-69,3742157,4286232
70-74,2551258,3042314
75-79,1584667,1994510
80-84,787658,1068719
85-89,282113,425682
90-94,61622,113970
95-99,6981,17578
100+,423,1511
