Age,M,F
0-4,17070994,16889994
5-9,16860616,16781017
10-14,16614469,16591018
15-19,16302002,16331099
20-24,15793186,15905513
25-29,15278209,15481008
30-34,14716083,15002423
35-39,14007333,14373252
40-44,13060142,13492913
45-49,11928034,12428253
50-54,10701385,11290139
55-59,9495995,10196063
60-64,8076652,8885406
65-69,6389187,7275800
70-74,4525933,5399678
75-79,2776535,3530144
80-84,1384854,1913169
85-89,515400,798153
90-94,123625,235430
95-99,15537,39896
100+,950,3420
