Age,M,F
0-4,16586417,16428585
5-9,16053000,15991900
10-14,15543291,15523916
15-19,14892516,14910748
20-24,13899030,13985465
25-29,12812402,12971724
30-34,11775242,11989524
35-39,10858435,11125206
40-44,9788310,10099203
45-49,8529843,8882289
50-54,7055426,7463666
55-59,5591889,6041591
60-64,4248251,4707130
65-69,3114175,3559515
70-74,2182950,2592387
75-79,1314243,1648935
80-84,637850,861256
85-89,223189,334434
90-94,47857,88639
95-99,5724,14541
100+,350,1255
