Age,M,F
0-4,16821890,16617396
5-9,16780044,16665296
10-14,16782419,16723833
15-19,16643795,16645920
20-24,16211136,16308592
25-29,15795929,15993285
30-34,15405919,15694300
35-39,14928507,15309151
40-44,14291771,14761926
45-49,13467046,14030568
50-54,12347718,13027684
55-59,10984499,11797205
60-64,9481895,10434099
65-69,7872907,8971674
70-74,5998654,7157368
75-79,3967839,5048934
80-84,2093354,2915288
85-89,800723,1267284
90-94,190369,375469
95-99,24350,65535
100+,1625,6237
