Age,M,F
0-4,17074881,16904185
5-9,16719030,16653266
10-14,16428596,16413700
15-19,16077984,16108194
20-24,15511276,15621743
25-29,14887749,15086841
30-34,14200176,14476184
35-39,13296864,13640934
40-44,12219434,12622157
45-49,11085538,11546226
50-54,9996126,10543496
55-59,8706785,9348406
60-64,7200764,7923791
65-69,5462834,6233606
70-74,3761364,4495320
75-79,2260591,2869261
80-84,1131447,1552414
85-89,430408,658465
90-94,100166,187956
95-99,11979,30313
100+,713,2517
