Age,M,F
0-4,1966458,1863564
5-9,2100546,1994378
10-14,1971501,1864904
15-19,1987325,1875095
20-24,2178574,2020486
25-29,2517030,2292364
30-34,2749068,2561168
35-39,2878290,2730430
40-44,2728525,2673541
45-49,2512301,2495273
50-54,2774856,2765078
55-59,3427271,3414526
60-64,3261116,3336178
65-69,2601629,2794783
70-74,2105256,2440885
75-79,1487282,1808502
80-84,1384073,1874713
85-89,836461,1342987
90-94,237981,497821
95-99,44608,136728
100+,2883,15795
