Age,M,F
0-4,1715369,1639492
5-9,1860341,1776272
10-14,2044563,1947878
15-19,2117339,2012508
20-24,2088294,1982396
25-29,1947310,1902513
30-34,1882615,1899824
35-39,1950388,2038322
40-44,2007856,2095297
45-49,2025887,2047171
50-54,2164348,2233350
55-59,2063626,2191827
60-64,2001512,2174016
65-69,1829526,2072469
70-74,1667692,1974314
75-79,1349206,1680433
80-84,769199,1057648
85-89,503519,847728
90-94,220406,514431
95-99,48065,172193
100+,4612,26767
