Age,M,F
0-4,1811875,1720534
5-9,2036288,1932897
10-14,2202126,2095504
15-19,2159674,2056552
20-24,2073147,1969050
25-29,2279448,2154471
30-34,2391926,2315615
35-39,2273710,2299657
40-44,2266911,2319971
45-49,2085539,2119922
50-54,2202953,2266004
55-59,2192920,2380322
60-64,2030708,2210115
65-69,1782822,1947917
70-74,1506973,1714756
75-79,1402266,1590488
80-84,837998,1079916
85-89,488828,682653
90-94,186976,325700
95-99,40071,97709
100+,3815,14593
