Age,M,F
0-4,157831,149365
5-9,168156,158929
10-14,176619,167237
15-19,174785,165330
20-24,163988,154958
25-29,158958,150450
30-34,210430,199841
35-39,247165,233974
40-44,251019,234090
45-49,273403,260539
50-54,258500,251006
55-59,226138,230536
60-64,212357,233336
65-69,193190,239223
70-74,165857,235787
75-79,121816,201238
80-84,66091,125052
85-89,31664,68183
90-94,10490,24445
95-99,1501,3821
100+,105,273
