Age,M,F
0-4,1706178,1654102
5-9,1701781,1649888
10-14,1589455,1542463
15-19,1361382,1325552
20-24,1109908,1090084
25-29,913961,911683
30-34,763859,771243
35-39,654986,667149
40-44,543619,558904
45-49,418598,442545
50-54,306919,342238
55-59,232834,275412
60-64,172949,216623
65-69,118806,160214
70-74,70658,105877
75-79,41550,64974
80-84,17830,30010
85-89,4339,8444
90-94,464,1219
95-99,7,65
100+,0,0
