Age,M,F
0-4,23143,22154
5-9,23746,22818
10-14,22828,21984
15-19,21177,20085
20-24,21774,19507
25-29,24034,19731
30-34,28178,21476
35-39,32451,23821
40-44,33195,23486
45-49,26481,17132
50-54,21122,13353
55-59,16094,10817
60-64,11883,9333
65-69,8793,8290
70-74,5679,5920
75-79,3003,3207
80-84,1287,1389
85-89,415,453
90-94,102,107
95-99,23,17
100+,6,1
