Age,M,F
0-4,346062,308896
5-9,392286,355406
10-14,448281,403643
15-19,401427,359811
20-24,334190,308021
25-29,367918,377954
30-34,452985,485621
35-39,444784,467343
40-44,381346,393639
45-49,310364,328355
50-54,279561,312677
55-59,277436,329133
60-64,264486,320572
65-69,183504,235356
70-74,101951,137198
75-79,43427,68389
80-84,20187,39641
85-89,13258,29985
90-94,2985,7064
95-99,365,983
100+,17,59
