Age,M,F
0-4,73426,68357
5-9,82753,75958
10-14,88669,80991
15-19,86869,79426
20-24,98403,91736
25-29,113487,110675
30-34,117559,115192
35-39,102839,94516
40-44,78935,82054
45-49,70080,81480
50-54,75726,89227
55-59,82427,93996
60-64,87825,96708
65-69,77609,85559
70-74,57693,63980
75-79,39520,44081
80-84,27318,32529
85-89,14021,17540
90-94,4180,6258
95-99,635,1318
100+,41,158
