Age,M,F
0-4,8541497,8152507
5-9,8076803,7614096
10-14,8461117,7732228
15-19,8623216,8453378
20-24,7474350,8612415
25-29,6792813,8324723
30-34,6086852,7065776
35-39,5942271,6695546
40-44,5628775,5804486
45-49,4506556,4436413
50-54,3761179,3878918
55-59,3223227,3162632
60-64,2705937,2525761
65-69,2194433,2005304
70-74,1531018,1603893
75-79,972487,1078254
80-84,537753,645908
85-89,217974,304759
90-94,58042,101729
95-99,7177,18719
100+,173,1257
