Age,M,F
0-4,444070,422550
5-9,535667,507605
10-14,538445,502951
15-19,456509,426984
20-24,409491,390155
25-29,422586,419175
30-34,462491,473176
35-39,459347,495205
40-44,439074,476016
45-49,398345,427636
50-54,356091,370009
55-59,324285,348433
60-64,292146,308698
65-69,230972,249213
70-74,155931,178715
75-79,77961,105530
80-84,41347,62667
85-89,18386,32104
90-94,4704,10250
95-99,541,1497
100+,28,112
