Age,M,F
0-4,324310,307228
5-9,352216,334034
10-14,362151,343376
15-19,348876,328295
20-24,310610,295347
25-29,280025,268304
30-34,267408,253647
35-39,272661,259754
40-44,285271,269384
45-49,272460,261063
50-54,229461,222461
55-59,163413,166884
60-64,114004,117906
65-69,68360,73642
70-74,44962,54237
75-79,28826,37430
80-84,18286,21139
85-89,7550,10199
90-94,1868,3183
95-99,234,502
100+,13,34
