Age,M,F
0-4,1606550,1539194
5-9,1668547,1586622
10-14,1726426,1633972
15-19,1632220,1558191
20-24,1503111,1427890
25-29,1463762,1399296
30-34,1489869,1425600
35-39,1439171,1407282
40-44,1327132,1315874
45-49,1174484,1182157
50-54,1029904,1032154
55-59,890315,920466
60-64,786414,815272
65-69,646939,648547
70-74,431239,452214
75-79,228048,283208
80-84,107994,162542
85-89,39797,67210
90-94,9063,18605
95-99,995,2706
100+,38,144
