Age,M,F
0-4,2364638,2268357
5-9,2560280,2459736
10-14,2320623,2224678
15-19,1869848,1788486
20-24,1477328,1424249
25-29,1566064,1478854
30-34,1803529,1691218
35-39,1903696,1805637
40-44,1829068,1725579
45-49,1527822,1450427
50-54,1275162,1218672
55-59,1065725,1021014
60-64,823716,788479
65-69,617786,613442
70-74,443040,448618
75-79,230311,266137
80-84,123921,157367
85-89,55221,79444
90-94,14527,25088
95-99,1956,4107
100+,119,330
