Age,M,F
0-4,1255760,1199327
5-9,1028897,983612
10-14,1397864,1329963
15-19,1489605,1433805
20-24,1453734,1420940
25-29,1187584,1151943
30-34,832034,797626
35-39,735043,732197
40-44,661243,684938
45-49,586749,620387
50-54,490966,531577
55-59,399868,443510
60-64,304169,349500
65-69,220929,263358
70-74,145372,183140
75-79,92146,112987
80-84,41502,58351
85-89,14120,25694
90-94,3237,7613
95-99,331,1062
100+,10,53
