Age,M,F
0-4,796800,776441
5-9,715984,702880
10-14,827527,810438
15-19,783774,772056
20-24,647315,641777
25-29,428143,425640
30-34,308807,323192
35-39,256337,286221
40-44,294817,332434
45-49,278555,314633
50-54,226784,261041
55-59,160920,191582
60-64,112130,137712
65-69,74830,96148
70-74,44499,61502
75-79,23135,35637
80-84,10260,17734
85-89,3153,6179
90-94,426,1235
95-99,13,76
100+,5,5
