Age,M,F
0-4,729531,706391
5-9,549292,535770
10-14,267211,266953
15-19,386044,400296
20-24,370265,386428
25-29,300898,328903
30-34,209142,264687
35-39,127302,195197
40-44,86456,136305
45-49,71939,111050
50-54,65624,97429
55-59,59637,83998
60-64,50162,69692
65-69,38296,54049
70-74,25544,38119
75-79,14306,23283
80-84,5820,10973
85-89,1632,3787
90-94,227,753
95-99,9,61
100+,0,1
