Age,M,F
0-4,1523342,1444718
5-9,1799419,1658928
10-14,1964036,1822202
15-19,1990311,1846748
20-24,1767261,1635250
25-29,1456086,1362898
30-34,1248660,1172199
35-39,1025781,957210
40-44,818881,764694
45-49,681890,635150
50-54,501181,476286
55-59,351613,362919
60-64,328803,335871
65-69,271686,287731
70-74,196535,204719
75-79,113160,119196
80-84,67225,72598
85-89,24344,28611
90-94,5103,6190
95-99,730,931
100+,47,69
