Age,M,F
0-4,2481197,2381319
5-9,2520977,2420820
10-14,2157000,2064454
15-19,1677177,1604723
20-24,1449867,1396454
25-29,1700011,1586141
30-34,1864079,1753777
35-39,1907029,1807444
40-44,1734412,1634514
45-49,1416905,1349938
50-54,1204902,1150551
55-59,984471,939234
60-64,753720,722597
65-69,576430,570408
70-74,388998,397215
75-79,200389,239033
80-84,123014,153132
85-89,51514,73788
90-94,13109,21540
95-99,1568,3167
100+,101,260
