Age,M,F
0-4,1698131,1621327
5-9,1476911,1412789
10-14,1746672,1611423
15-19,1922312,1784911
20-24,1965798,1841015
25-29,1788741,1669782
30-34,1467481,1387014
35-39,1258616,1192164
40-44,1047298,986933
45-49,832340,779313
50-54,683932,645964
55-59,523375,493625
60-64,337649,354781
65-69,299473,311933
70-74,231348,255487
75-79,153707,167707
80-84,72514,80797
85-89,30286,34594
90-94,8082,10671
95-99,966,1343
100+,81,119
