Age,M,F
0-4,2256163,2160193
5-9,1783717,1703113
10-14,1470556,1411995
15-19,1674451,1553800
20-24,1877195,1746089
25-29,1947739,1834415
30-34,1823607,1709235
35-39,1504361,1424502
40-44,1279636,1215760
45-49,1074343,1017785
50-54,850692,798208
55-59,684862,653421
60-64,533469,504104
65-69,324176,344714
70-74,256488,276992
75-79,180272,208245
80-84,102185,119057
85-89,36895,44918
90-94,9564,12550
95-99,1722,2659
100+,117,199
