Age,M,F
0-4,1703934,1576210
5-9,1915433,1768952
10-14,2010333,1868794
15-19,1902131,1751538
20-24,1578200,1465510
25-29,1342757,1253856
30-34,1129420,1055434
35-39,902359,835839
40-44,740160,694476
45-49,599285,551731
50-54,392480,398460
55-59,355702,356559
60-64,312968,326188
65-69,256869,262503
70-74,167239,172511
75-79,108963,112200
80-84,63069,70695
85-89,18698,21451
90-94,4449,5391
95-99,552,731
100+,34,57
