Age,M,F
0-4,1516430,1452255
5-9,1615807,1507798
10-14,1872334,1729002
15-19,1986932,1852368
20-24,1915422,1777761
25-29,1607170,1503456
30-34,1352120,1274502
35-39,1149562,1083526
40-44,923412,860406
45-49,746955,704819
50-54,614285,568714
55-59,404468,406878
60-64,330911,339586
65-69,285400,303325
70-74,219297,234596
75-79,130525,140189
80-84,66304,71276
85-89,29870,34806
90-94,6043,7617
95-99,862,1134
100+,63,90
