Age,M,F
0-4,2299137,2205428
5-9,2547196,2446839
10-14,2396998,2299654
15-19,1966018,1880737
20-24,1518849,1460841
25-29,1508563,1435421
30-34,1767920,1655770
35-39,1891911,1791597
40-44,1860021,1758072
45-49,1591559,1507077
50-54,1311419,1253556
55-59,1103936,1058585
60-64,862544,827241
65-69,641865,635073
70-74,464587,472373
75-79,254042,285730
80-84,124902,160425
85-89,57665,82161
90-94,15363,26859
95-99,2206,4650
100+,135,376
