Age,M,F
0-4,1990289,1900991
5-9,1550254,1482924
10-14,1551624,1460566
15-19,1825098,1686999
20-24,1951893,1825942
25-29,1917529,1795226
30-34,1645993,1546670
35-39,1367950,1297248
40-44,1170595,1109683
45-49,947615,888777
50-54,755508,714738
55-59,619757,580980
60-64,417473,415004
65-69,298434,317342
70-74,246554,269258
75-79,168867,191345
80-84,86967,98885
85-89,31453,37013
90-94,9245,12151
95-99,1255,1884
100+,94,152
