Age,M,F
0-4,1884988,1813600
5-9,1946545,1874391
10-14,1728626,1662426
15-19,1548258,1423340
20-24,1364377,1230780
25-29,1172516,1048450
30-34,962460,850871
35-39,776354,698943
40-44,584222,532779
45-49,418230,401472
50-54,349427,350527
55-59,308537,313433
60-64,246073,251113
65-69,175201,183406
70-74,119640,128999
75-79,76562,83885
80-84,39321,42675
85-89,13635,15615
90-94,2608,3394
95-99,297,497
100+,23,57
