Age,M,F
0-4,1834586,1722558
5-9,1957958,1847061
10-14,1940504,1824457
15-19,1679614,1567941
20-24,1455306,1340182
25-29,1250803,1148227
30-34,1034858,940468
35-39,837216,765426
40-44,682248,623402
45-49,486174,461114
50-54,369864,369615
55-59,337012,342144
60-64,288073,294800
65-69,213751,218197
70-74,141557,147053
75-79,96655,104710
80-84,48500,54228
85-89,16231,18671
90-94,3547,4414
95-99,388,580
100+,28,58
