Age,M,F
0-4,2570107,2468709
5-9,2325141,2228347
10-14,1878449,1794357
15-19,1493152,1433953
20-24,1583232,1488309
25-29,1819879,1700648
30-34,1919397,1816108
35-39,1845733,1738366
40-44,1546079,1465113
45-49,1297337,1236139
50-54,1094948,1042597
55-59,864308,816608
60-64,675161,652114
65-69,518768,501226
70-74,302087,326447
75-79,197928,227313
80-84,120073,148100
85-89,51850,68480
90-94,12971,19087
95-99,1978,3305
100+,209,423
